Name,Disabled,FileName,ExportName,ParticleFileName,ParticleExportName,ParticleStyle,ParticleVariations,ThemeMusic,LoadingJingle,LoadingScreen,CustomButtonName
Brawl-o-Ween 2021,,sc/backgrounds/background_brawloween.sc,bgr_brawloween,,,,,Halloween_menu,sfx/loading_sfx/brawloween_load_01.ogg,sc/loading_screens/loading_brawloween_21.sc,
Singles Day 2021,,sc/backgrounds/background_sd.sc,bgr_sd,,,,,Brawlywood_Menu,sfx/loading_sfx/brawlywood_load_01.ogg,sc/loading_screens/loading_brawlywood.sc,
Black Friday 2021,,sc/backgrounds/background_bf.sc,bgr_bf,,,,,Brawlywood_Menu,sfx/loading_sfx/brawlywood_load_01.ogg,sc/loading_screens/loading_brawlywood.sc,
Brawlywood,,sc/backgrounds/background_brawlywood.sc,bgr_brawlywood,,,,,Brawlywood_Menu,sfx/loading_sfx/brawlywood_load_01.ogg,sc/loading_screens/loading_brawlywood.sc,
Brawlidays 2021,,sc/backgrounds/background_brawlidays2021.sc,bgr_brawlidays2021,,,,,Xmas_menu,sfx/loading_sfx/brawl_xmas_load_01.ogg,sc/loading_screens/loading_brawlidays_21.sc,
Brawlidays 2021 ❄,,sc/backgrounds/background_brawlidays2021.sc,bgr_brawlidays2021,sc/particle_snow.sc,particle_sn0w_,Snow,2,Xmas_menu,sfx/loading_sfx/brawl_xmas_load_01.ogg,sc/loading_screens/loading_brawlidays_21.sc,
Brawlentines,,sc/backgrounds/background_stv.sc,bgr_stv,,,,,Brawlywood_Menu,sfx/loading_sfx/brawl_fighting_load_01.ogg,sc/loading_screens/loading_lny_22.sc,
Year of The Tiger,,sc/backgrounds/background_lny22.sc,bgr_lny22,,,,,Retro_Fight_Menu,sfx/loading_sfx/brawl_fighting_load_01.ogg,sc/loading_screens/loading_lny_22.sc,
The Biodome,,sc/backgrounds/background_biodome.sc,bgr_biodome,,,,,Biodome_Menu,sfx/loading_sfx/brawly_biome_loading_01.ogg,sc/loading_screens/loading_biodome.sc,
Ramadan 2022,,sc/backgrounds/background_ramadan22.sc,bgr_ramadan22,,,,,Brawzaar_menu_muzak,sfx/loading_sfx/brawly_biome_loading_01.ogg,sc/loading_screens/loading_biodome.sc,
Easter 2022,,sc/backgrounds/background_easter22.sc,bgr_easter22,,,,,MenuMusic,sfx/loading_sfx/brawly_biome_loading_01.ogg,sc/loading_screens/loading_biodome.sc,
Golden Week 2022,,sc/backgrounds/background_gw22.sc,bgr_gw,,,,,Lunar_Menu_Music,sfx/loading_sfx/brawl_stunt_2_load_01.ogg,sc/loading_screens/loading_stuntshow.sc,
The Stunt Show,,sc/backgrounds/background_stuntshow.sc,bgr_stuntshow,,,,,Pinstuntbrawl_Menu,sfx/loading_sfx/brawl_stunt_2_load_01.ogg,sc/loading_screens/loading_stuntshow.sc,
Villains,,sc/backgrounds/background_villains.sc,bgr_villains,,,,,Space_Brawl_Menu,sfx/loading_sfx/brawl_stunt_2_load_01.ogg,sc/loading_screens/loading_stuntshow.sc,
Deep Sea Brawl,,sc/backgrounds/background_deepsea.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/loading_sfx/brawl_underwater_load_01.ogg,sc/loading_screens/loading_deepsea.sc,
BT21,,sc/backgrounds/background_bt21.sc,bgr_bt21,,,,,MenuMusic,sfx/loading_sfx/brawl_underwater_load_01.ogg,sc/loading_screens/loading_deepsea.sc,
Mecha 2022,,sc/backgrounds/background_mecha22.sc,bgr_mecha,,,,,MechMenuMusic,sfx/loading_sfx/brawl_robotfactory_load_01.ogg,sc/loading_screens/loading_robotfactory.sc,
Moon Festival 2022,,sc/backgrounds/background_mf22.sc,bgr_mf,,,,,Lunar_Menu_Music,sfx/loading_sfx/brawl_robotfactory_load_01.ogg,sc/loading_screens/loading_robotfactory.sc,
Brawl-o-Ween 2022,,sc/backgrounds/background_brawloween22.sc,bgr_brawloween,,,,,Halloween_menu,sfx/loading_sfx/brawloween_load_01.ogg,sc/loading_screens/loading_brawloween2022.sc,
Robot Factory,,sc/backgrounds/background_outlaw.sc,bgr_outlaw,,,,,Robotfactory_Menu,sfx/loading_sfx/brawl_robotfactory_load_01.ogg,sc/loading_screens/loading_robotfactory.sc,
Ghost Station,,sc/backgrounds/background_ghosttrain.sc,bgr_ghosttrain,,,,,Ghosttrain_Menu,sfx/loading_sfx/ghost_train_load_01.ogg,sc/loading_screens/loading_ghosttrain.sc,
Action Heroes,,sc/backgrounds/background_actionheroes.sc,bgr_action,,,,,TopGun_Action_Menu,sfx/loading_sfx/ghost_train_load_01.ogg,sc/loading_screens/loading_ghosttrain.sc,
Last Box,,sc/backgrounds/background_lastbox.sc,bgr_lastbox,,,,,MenuMusic,sfx/loading_sfx/ghost_train_load_01.ogg,sc/loading_screens/loading_ghosttrain.sc,
Candyland,,sc/backgrounds/background_candyland.sc,bgr_candyland,,,,,Mandy_Candy_Menu,sfx/loading_sfx/candy_land_load_01.ogg,sc/loading_screens/loading_candyland.sc,
4th Anniversary,,sc/backgrounds/background_4thanniversary.sc,bgr_4thanniversary,,,,,MenuMusic,sfx/loading_sfx/candy_land_load_01.ogg,sc/loading_screens/loading_candyland.sc,
Brawlentines 2023,,sc/backgrounds/background_brawlentines.sc,bgr_brawlentines,,,,,Brawlentines_Menu,sfx/loading_sfx/candy_land_load_01.ogg,sc/loading_screens/loading_candyland.sc,
LNY 2023,,sc/backgrounds/background_lny23.sc,bgr_lny23,,,,,Retro_Fight_Menu,sfx/loading_sfx/brawl_fighting_load_01.ogg,sc/loading_screens/loading_candyland.sc,
LNY 2023 Red,,sc/backgrounds/background_lny23.sc,bgr_lny23red,,,,,Retro_Fight_Menu,sfx/loading_sfx/brawl_fighting_load_01.ogg,sc/loading_screens/loading_candyland.sc,
Dark Brawlidays,,sc/backgrounds/background_darkmas.sc,bgr_darkmas,sc/particle_snow.sc,particle_sn0w_,Snow,2,Krampus_Menu,sfx/loading_sfx/dark_xmas_load_01.ogg,sc/loading_screens/loading_darkmas.sc,
Ayakashi Clan,,sc/backgrounds/background_masks.sc,bgr_masks,,,,,Mask_Dance_Menu,sfx/loading_sfx/brawl_mask_dance_loading_jingle_01.ogg,sc/loading_screens/loading_hub.sc,
Easter 2023,,sc/backgrounds/background_easter_2023.sc,bgr_easter2023,,,,,MenuMusic,sfx/loading_sfx/brawl_noir_loading_jingle_01.ogg,sc/loading_screens/loading_hub.sc,
Popstar,,sc/backgrounds/background_popstar.sc,bgr_popstar,,,,,MenuMusic,sfx/loading_sfx/brawl_noir_loading_jingle_01.ogg,sc/loading_screens/loading_hub.sc,
Ramadan 2023,,sc/backgrounds/background_ramadan2023.sc,bgr_ramadan2023,,,,,Brawzaar_menu_muzak,sfx/loading_sfx/brawl_noir_loading_jingle_01.ogg,sc/loading_screens/loading_hub.sc,
Mystery at The Hub,,sc/backgrounds/background_hub.sc,bgr_hub,,,,,Scifi_Noir_Menu,sfx/loading_sfx/brawl_noir_loading_jingle_01.ogg,sc/loading_screens/loading_hub.sc,
Legends of Olympus,,sc/backgrounds/background_olympus.sc,bgr_olympus,,,,,Brawlympus_Menu,sfx/loading_sfx/brawlympus_loading_01.ogg,sc/loading_screens/loading_olympus.sc,
Golden Week 2023,,sc/backgrounds/background_gw2023.sc,bgr_gw2023,,,,,Lunar_Menu_Music,sfx/loading_sfx/brawl_jungle_loading_01.ogg,sc/loading_screens/loading_jungle.sc,
The Rescue,,sc/backgrounds/background_jungle.sc,bgr_jungle,,,,,Brawl_Jungle_Menu,sfx/loading_sfx/brawl_jungle_loading_01.ogg,sc/loading_screens/loading_jungle.sc,
Deep Sea 2023,,sc/backgrounds/background_deepsea23.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/loading_sfx/brawl_underwater_load_01.ogg,sc/loading_screens/loading_jungle.sc,
Enchanted Woods,,sc/backgrounds/background_enchantedforest.sc,bgr_enchanted,,,,,Brawl_Enchanted_Forest_Menu,sfx/loading_sfx/enchanted_forest_loading_01.ogg,sc/loading_screens/loading_enchanted.sc,
Phoenix,,sc/backgrounds/background_phoenix.sc,bgr_phoenix,sc/ui.sc,particle_ember_,Ember,2,Action_Western_Menu,sfx/loading_sfx/enchanted_forest_loading_01.ogg,sc/loading_screens/loading_enchanted.sc,
The Jurassic Splash 2023,,sc/backgrounds/background_velocirapids2023.sc,bgr_velocirapids2023,,,,,Summer_Brawl_Menu_Muzak,sfx/loading_sfx/enchanted_forest_loading_01.ogg,sc/loading_screens/loading_enchanted.sc,
Cursed Pirates,,sc/backgrounds/background_cursedpirates.sc,bgr_cursedpirates,,,,,Brawl_Cursed_Pirates_Menu,sfx/loading_sfx/cursed_pirates_loading_01.ogg,sc/loading_screens/loading_cursed.sc,
Football 2023,,sc/backgrounds/background_football2023.sc,bgr_football2023,,,,,Footbrawl_menu_muzak,sfx/loading_sfx/enchanted_forest_loading_01.ogg,sc/loading_screens/loading_enchanted.sc,
Mecha Edgar,,sc/backgrounds/background_mecha_edgar.sc,bgr_mecha_edgar,,,,,MechMenuMusic,sfx/loading_sfx/wasteland_loading_01.ogg,sc/loading_screens/loading_mechaedgar.sc,
Ghost Station 2023,,sc/backgrounds/background_ghosttrain2023.sc,bgr_ghosttrain,,,,,Ghosttrain_Menu,sfx/loading_sfx/ghost_train_load_01.ogg,sc/loading_screens/loading_wasteland.sc,
Back to Ranger Ranch,,sc/backgrounds/background_wasteland.sc,bgr_wasteland,,,,,Wasteland_Menu,sfx/loading_sfx/wasteland_loading_01.ogg,sc/loading_screens/loading_wasteland.sc,
Brawl Academy,,sc/backgrounds/background_university.sc,bgr_university,,,,,Highschool_Menu,sfx/loading_sfx/monster_university_loading_01.ogg,sc/loading_screens/loading_university.sc,
Moon Festival 2023,,sc/backgrounds/background_mf2023.sc,bgr_mf2023,,,,,Lunar_Menu_Music,sfx/loading_sfx/wasteland_loading_01.ogg,sc/loading_screens/loading_wasteland.sc,
Retropolis 2023,,sc/backgrounds/background_retropolis2023.sc,bgr_retropolis,,,,,Retropolis_menu,sfx/loading_sfx/hindu_circus_loading_01.ogg,sc/loading_screens/loading_retropolis2023.sc,button_cctv
World Finals 2023,,sc/backgrounds/background_wf2023.sc,bgr_wf2023,,,,,MenuMusic,sfx/loading_sfx/brawlywood_load_01.ogg,sc/loading_screens/loading_wf2023.sc,button_cctv
Hindu,,sc/backgrounds/background_hindu.sc,bgr_hindu,,,,,Hindu_Menu,sfx/loading_sfx/hindu_brawl_loading_01.ogg,sc/loading_screens/loading_hindu.sc,button_cctv
Brawl-o-Ween 2023,,sc/backgrounds/background_brawloween2023.sc,bgr_brawloween,,,,,Halloween_menu,sfx/loading_sfx/brawloween_load_01.ogg,sc/loading_screens/loading_brawloween2023.sc,
Bizarre Circus,,sc/backgrounds/background_circus.sc,bgr_circus,,,,,Circus_Menu,sfx/loading_sfx/hindu_circus_loading_01.ogg,sc/loading_screens/loading_circus.sc,button_cctv
Brawlidays 2023,,sc/backgrounds/background_brawlidays2023.sc,bgr_brawlidays2023,,,,,Xmas_menu,sfx/loading_sfx/brawl_xmas_load_01.ogg,sc/loading_screens/loading_brawlidays2023.sc,button_cctv
LNY 2024,,sc/backgrounds/background_lny24.sc,bgr_lny24,,,,,Retro_Fight_Menu,sfx/loading_sfx/brawl_fighting_load_01.ogg,sc/loading_screens/loading_lny2024.sc,
Starr Toon Studios,,sc/backgrounds/background_cartoon.sc,bgr_cartoon,,,,,Brawly_Toonz_Menu,sfx/loading_sfx/brawly_toonz_loading_01.ogg,sc/loading_screens/loading_cartoon.sc,
Super Brawl,,sc/backgrounds/background_superbrawl.sc,bgr_superbrawl,,,,,Highschool_Menu,sfx/loading_sfx/monster_university_loading_01.ogg,sc/loading_screens/loading_lny2024.sc,
Brawlnaval,,sc/backgrounds/background_carnaval.sc,bgr_carnaval,sc/ui.sc,particle_snow_,Snow,2,Footbrawl_menu_muzak,sfx/loading_sfx/brawl_fighting_load_01.ogg,sc/loading_screens/loading_lny2024.sc,
Sands of Time,,sc/backgrounds/background_sands.sc,bgr_sands,,,,,Brawzaar_menu_muzak,sfx/loading_sfx/hindu_brawl_loading_01.ogg,sc/loading_screens/loading_sands.sc,
Ragnarok,,sc/backgrounds/background_ragnarok.sc,bgr_ragnarok,,,,,Ragnarok_Menu,sfx/loading_sfx/ragnarok_load_01.ogg,sc/loading_screens/loading_ragnarok.sc,
Love Swamp,,sc/backgrounds/background_love_swamp.sc,bgr_loveswamp,,,,,Loveswamp_Menu,sfx/loading_sfx/swampoflove_load_01.ogg,sc/loading_screens/loading_love_swamp.sc,
Melodie,,sc/backgrounds/background_melody.sc,bgr_melody,,,,,Kpop_Menu,sfx/loading_sfx/kpop_load_01.ogg,sc/loading_screens/loading_melodie.sc,
Baby Shark,,sc/backgrounds/background_babyshark.sc,bgr_babyshark,,,,,Babyshark_Menu,sfx/loading_sfx/babyshark_load_01.ogg,sc/loading_screens/loading_babyshark.sc,
Mecha Leon,,sc/backgrounds/background_mecha_leon.sc,bgr_mecha_leon,,,,,MechMenuMusic,sfx/loading_sfx/brawl_robotfactory_load_01.ogg,sc/loading_screens/loading_leon_mecha.sc,
Enchanted Woods 2024,,sc/backgrounds/background_enchantedforest.sc,bgr_enchanted,,,,,Brawl_Enchanted_Forest_Menu,sfx/loading_sfx/enchanted_forest_loading_01.ogg,sc/loading_screens/loading_enchanted2024.sc,
Godzilla,,sc/backgrounds/background_godzilla.sc,bgr_godzilla,,,,,Godzilla_Menu,sfx/loading_sfx/brawl_godzilla_load_01.ogg,sc/loading_screens/loading_godzilla.sc,
Cyberbrawl,,sc/backgrounds/background_hackers.sc,bgr_hackers,,,,,Brawl_Haxx0r_M3nu,sfx/loading_sfx/brawl_cyberhax_load_01.ogg,sc/loading_screens/loading_hackers.sc,
Mad-Evil Manor,,sc/backgrounds/background_madevil.sc,bgr_madevil,sc/ui.sc,particle_ember_,Ember,2,Draco_Madevil_Menu,sfx/loading_sfx/brawl_metal_load_01.ogg,sc/loading_screens/loading_draco.sc,
The Jurassic Splash 2024,,sc/backgrounds/background_velocirapids2023.sc,bgr_velocirapids2023,,,,,Summer_Brawl_Menu_Muzak,sfx/loading_sfx/brawl_jungle_loading_01.ogg,sc/loading_screens/loading_velocirapids.sc,
Berry,,sc/backgrounds/background_candyland2024.sc,bgr_candyland,,,,,Mandy_Candy_Menu,sfx/loading_sfx/candy_land_load_01.ogg,sc/loading_screens/loading_candyland2024.sc,
Gods vs Monsters!,,sc/backgrounds/background_olympus2024.sc,bgr_olympus,,,,,Brawlympus_Menu,sfx/loading_sfx/brawlympus_loading_01.ogg,sc/loading_screens/loading_greek.sc,
Classic Brawl,,sc/background_basic.sc,bgr,,,,,MenuMusic,,sc/loading_screens/loading_classic.sc,
Clancy,,sc/backgrounds/background_deepsea2024.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/loading_sfx/brawl_underwater_load_01.ogg,sc/loading_screens/loading_clancy.sc,
Deep Sea 2024,,sc/backgrounds/background_deepsea2024.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/loading_sfx/brawl_underwater_load_01.ogg,sc/loading_screens/loading_deepsea2024.sc,
Cursed Pirates 2024,,sc/backgrounds/background_cursedship.sc,bgr_cursedpirates,,,,,Brawl_Cursed_Pirates_Menu,sfx/loading_sfx/cursed_pirates_loading_01.ogg,sc/loading_screens/loading_cursedship.sc,
Dynamic,true,sc/background_basic.sc,bgr,,,,,MenuMusic,,,
Moe,,sc/backgrounds/background_digger.sc,bgr_digger,,,,,Ragnarok_Menu,sfx/loading_sfx/ragnarok_load_01.ogg,sc/loading_screens/loading_digger.sc,
SpongeBob,,sc/backgrounds/background_spongebob.sc,bgr_sb,,,,,Spongebrawl_Menu_Musings,sfx/loading_sfx/spongebrawl_loading_01.ogg,sc/loading_screens/loading_spongebob.sc,
Kenji,,sc/backgrounds/background_samurai.sc,bgr_samurai,,,,,Katana_Brawl_Menu,sfx/loading_sfx/katana_brawl_load_01.ogg,sc/loading_screens/loading_samurai.sc,
Scary Tales,,sc/backgrounds/background_darkonceupon.sc,bgr_dark,,,,,Dark_Once_Upon_Menu,sfx/loading_sfx/fairytale_load_01.ogg,sc/loading_screens/loading_darkonceupon.sc,
Zombies,,sc/backgrounds/background_zombie.sc,bgr_zombie,,,,,Halloween_menu,sfx/loading_sfx/brawloween_load_01.ogg,sc/loading_screens/loading_darkonceupon.sc,
Angels,,sc/backgrounds/background_angel.sc,bgr_angel,,,,,Angelic_Menu_Music,sfx/loading_sfx/angel_demon_load_01.ogg,sc/loading_screens/loading_demonsangels.sc,
Demons,,sc/backgrounds/background_demon.sc,bgr_demon,,,,,Demonic_Menu_Music,sfx/loading_sfx/angel_demon_load_01.ogg,sc/loading_screens/loading_demonsangels.sc,
Juju,,sc/backgrounds/background_selena.sc,bgr_selena,,,,,Juju_Menu_Music,sfx/loading_sfx/juju_loading_jingle_01.ogg,sc/loading_screens/loading_juju.sc,
Starr Toon Studios 2,,sc/backgrounds/background_toons2.sc,bgr_toons2,,,,,Brawly_Toonz_Menu,sfx/loading_sfx/brawly_toonz_loading_01.ogg,sc/loading_screens/loading_toons2.sc,
Shade,,sc/backgrounds/background_ghosttrain2024.sc,bgr_ghosttrain,,,,,Ghosttrain_Menu,sfx/loading_sfx/ghost_train_load_01.ogg,sc/loading_screens/loading_shade.sc,
Toy Story,,sc/backgrounds/background_toystory.sc,bgr_toystory,,,,,Disney_Buzz_Menu,sfx/loading_sfx/brawl_story_logo_01.ogg,sc/loading_screens/loading_toystory.sc,
Arcade,,sc/backgrounds/background_arcade.sc,bgr_arcade,,,,,Retro_Fight_Menu,sfx/loading_sfx/brawl_fighting_load_01.ogg,sc/loading_screens/loading_starrforcemeeple.sc,
Ollie,,sc/backgrounds/background_ollie.sc,bgr_ollie,,,,,Skatebeat_Menu_Music,sfx/loading_sfx/ghost_train_load_01.ogg,sc/loading_screens/loading_ollie.sc,
Good Randoms,,sc/backgrounds/background_goodrandoms.sc,bgr_goodrandoms,,,,,Good_Randoms_Menu,sfx/loading_sfx/goodrandoms_load_01.ogg,sc/loading_screens/loading_goodrandoms.sc,
Dark Sands,,sc/backgrounds/background_darksands.sc,bgr_darksands,,,,,Brawzaar_menu_muzak,sfx/loading_sfx/hindu_brawl_loading_01.ogg,sc/loading_screens/loading_darksands.sc,
Finx,,sc/backgrounds/background_finnx.sc,bgr_finnx,,,,,Finx_Menu_Music,sfx/loading_sfx/finx_loading_jingle_01.ogg,sc/loading_screens/loading_finx.sc,
Super Brawl,,sc/backgrounds/background_superheroes.sc,bgr_superheroes,,,,,Make_Heroes_Menu_Music,sfx/loading_sfx/make_heroes_jingle_01.ogg,sc/loading_screens/loading_superheroes.sc,
Lumi,,sc/backgrounds/background_lumi.sc,bgr_lumi,,,,,Lumi_Menu_Music,sfx/loading_sfx/lumi_loading_jingle_01.ogg,sc/loading_screens/loading_lumi.sc,
UNO,,sc/backgrounds/background_aprilfools.sc,bgr_aprilfools,,,,,Uno_Menu_Music,sfx/loading_sfx/uno_loading_jingle_01.ogg,sc/loading_screens/loading_uno.sc,
Retropolis 2025,,sc/backgrounds/background_superheroes.sc,bgr_superheroes,,,,,Retropolis_menu,,sc/loading_screens/loading_retropolis25.sc,
Golden Week 2020,,sc/backgrounds/background_golden_week_20.sc,bgr_golden_week,,,,,MenuMusic,sfx/loading_sfx/footbrawl_load_01.ogg,sc/loading_screens/loading_psg.sc,
Golden Week 2021,,sc/backgrounds/background_gw.sc,bgr_gw,,,,,Golden_Week_Menu,sfx/loading_sfx/action_western_load_01.ogg,sc/loading_screens/loading_western.sc,
Bad Randoms 2022,,sc/backgrounds/background_punk_22.sc,bgr_punk,,,,,Bad_Randoms_Music,sfx/loading_sfx/brawl_underwater_load_01.ogg,sc/loading_screens/loading_deepsea.sc,
CN Mortis,,sc/backgrounds/background_motisi.sc,bgr_mortisi,,,,,Tronmortis_Menu,,,
CN Shelly,,sc/backgrounds/background_sipaike.sc,bgr_sipaike,,,,,ShotgunGirlElectronictoy_Menu,,,
CN Colt,,sc/backgrounds/background_colt.sc,bgr_colt,,,,,MenuMusic,,,
CN Bo,,sc/backgrounds/background_bo.sc,bgr_bo,,,,,BowDudeSagittarius_Menu,,,
CN Stu,,sc/backgrounds/background_stu.sc,bgr_stu,,,,,RollerCapricorn_Menu,,,
CN Emz,,sc/backgrounds/background_emz.sc,bgr_emz,,,,,emzaquarius_Menu,,,
CN Piper,,sc/backgrounds/background_piper.sc,bgr_piper,,,,,piperPisces_Menu,,,
CN Bull,,sc/backgrounds/background_bull.sc,bgr_bull,,,,,bull_Taurus_Menu,,,
CN Fang,,sc/backgrounds/background_fang.sc,bgr_fang,,,,,FangUltramanTigaToy_Menu,,sc/loading_screens/loading_atm.sc,
CN Primo,,sc/backgrounds/background_fang.sc,bgr_fang,,,,,PrimoUltramanZeroToy_Menu,,,
CN Edgar,,sc/backgrounds/background_edgar.sc,bgr_edgar_k2,,,,,EnragerCancer_Menu,,,
CN Colette,,sc/backgrounds/background_colette.sc,bgr_colette,,,,,PercenterVirgo_Menu,,,
CN Lantern,,sc/backgrounds/background_lantern.sc,bgr_lantern,,,,,Lantern_Menu,,,
CN Bibi,,sc/backgrounds/background_bibi.sc,bgr_bibi_k2,,,,,BaseballScorpio_Menu,,,
CN Piper 2,,sc/backgrounds/background_idol.sc,bgr_idol,,,,,SniperIdol_Menu,,,
CN Melodie,,sc/backgrounds/background_idol.sc,bgr_idol,,,,,SniperIdol_Menu,,,
CN Mortis 2,,sc/backgrounds/background_chmythology.sc,bgr_chmythology,,,,,UndertakerYangJianBlack_Menu,,,
CN Edgar 2,,sc/backgrounds/background_chmythology.sc,bgr_chmythology,,,,,EnragerNezhaGold_Menu,,,
CN Leon,,sc/backgrounds/background_chnewyear2025.sc,bgr_chnewyear2025,,,,,CNY2025_Menu,,,
